"#META","7","2","city","〇〇市","start","","end",""
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻","回答部","担当者名","本答弁原稿","再質問番号","再質問内容","再質問担当部署","回答番号","再質問答弁者","再質問答弁本文"
"R0702040100000000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","〇〇市デジタル・トランスフォーメーション推進計画の進捗状況と、市民の利便性向上に向けた取組について","","","","","","","","","","1","8/29 19:00","","","","","","","","",""
"R0702040101000000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","行政手続のオンライン化の進捗と、いわゆる「書かない窓口」の導入に向けた検討状況について","","","","","","","","","2","8/29 19:00","","","","","","","","",""
"R0702040101010000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","","マイナンバーカードを活用した各種証明書のコンビニ交付の利用実績と、利用促進策の検討状況について問う","コンビニ交付の利用率","手数料格差の設定","窓口混雑の緩和効果","","","〇〇課","","3","8/29 19:00","〇〇部〇〇課","〇〇 〇〇","コンビニ交付の利用率は全証明書発行の約35％まで上昇しています。窓口交付との手数料格差の導入について、他自治体の効果を検証しつつ検討を進めています。","","","","","",""
"R0702040101020000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","","電子申請システムの導入状況と、デジタル機器の操作に不慣れな市民への支援体制について問う","対象手続の拡大計画","デジタル支援員の配置","公民館等での相談会","","","〇〇課","","4","8/29 19:00","〇〇部〇〇課","〇〇 〇〇","電子申請の対象手続は現在120種類で、令和8年度中に200種類まで拡大予定です。デジタル支援員を各公民館に配置し、月2回の相談会を開催しています。","","","","","",""
"R0702040101020100","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","","","","","","","","","","","8/29 19:00","","","","1","デジタル支援員の相談実績と、高齢者からの評価について再質問する。","〇〇部〇〇課","","",""
"R0702040101020101","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","","","","","","","","","","","8/29 19:00","","","","1","デジタル支援員の相談実績と、高齢者からの評価について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","相談件数は月平均約150件で、アンケートでは9割の方から「わかりやすかった」との評価をいただいています。"
"R0702040102000000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","庁内情報システムの標準化・共通化への対応状況について","","","","","","","","","5","8/29 19:00","","","","","","","","",""
"R0702040102010000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","","ガバメントクラウドへの移行スケジュールと、経費負担の見通しについて問う","移行スケジュール","経費負担の見通し","国庫補助の活用","","","〇〇課","","6","8/29 19:00","","","","","","","","",""
"R0702040102020000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","","システム標準化に伴う業務フローの見直しと職員研修の実施計画について問う","業務フローの再構築","職員研修の実施時期","","","","〇〇課","","7","8/29 19:00","〇〇部〇〇課","〇〇 〇〇","標準準拠システムへの移行は令和8年度中に完了予定です。業務フローの見直しに合わせ、全職員を対象とした研修を計画的に実施してまいります。","","","","","",""
"R0702040200000000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","情報セキュリティ対策の強化とデジタルデバイド対策について","","","","","","","","","","8","8/29 19:00","","","","","","","","",""
"R0702040201000000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","サイバー攻撃への対応体制と職員のセキュリティ意識向上について","","","","","","","","","9","8/29 19:00","","","","","","","","",""
"R0702040201010000","4","〇〇 四郎","〇〇クラブ","2025-06-10","13:00〜13:20","","","標的型攻撃メール訓練の実施状況と、インシデント発生時の対応体制について問う","訓練の実施頻度","対応体制の整備","","","","〇〇課","","10","8/29 19:00","〇〇部〇〇課","〇〇 〇〇","標的型攻撃メール訓練は年2回実施しており、開封率は年々低下しています。インシデント対応については、CSIRT体制を整備し迅速な初動対応が可能な体制としています。","","","","","",""
