"#META","7","2","city","〇〇市","start","2025-06-10","end","2025-06-13"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻","回答部","担当者名","本答弁原稿","再質問番号","再質問内容","再質問担当部署","回答番号","再質問答弁者","再質問答弁本文"
"R0702050100000000","5","〇〇 五郎","〇〇会","2025-06-11","60","公共施設等総合管理計画に基づく施設の再編・長寿命化の進捗状況について","","","","","","","","","〇〇課 〇〇","1","8/31 20:12","","","","","","","","",""
"R0702050101000000","5","〇〇 五郎","〇〇会","2025-06-11","60","","老朽化が著しく進行している施設の今後の方針について","","","","","","","","〇〇課 〇〇","2","8/31 20:12","","","","","","","","",""
"R0702050101010000","5","〇〇 五郎","〇〇会","2025-06-11","60","","","老朽化した〇〇センター及び〇〇会館の劣化診断結果と、複合化・集約化の検討状況について問う","劣化診断の結果","複合化の可否","説明会の開催時期","","","〇〇課","〇〇課 〇〇","3","8/31 20:12","〇〇部〇〇課","〇〇 〇〇","両施設とも劣化診断の結果、大規模改修が必要と判定されました。複合化・集約化を含めた基本構想を策定中で、地元住民への説明会を年度内に開催する予定です。","","","","","",""
"R0702050101010100","5","〇〇 五郎","〇〇会","2025-06-11","60","","","","","","","","","","","","8/31 20:12","","","","1","説明会での住民意見の反映方法と、基本構想の策定スケジュールについて再質問する。","〇〇部〇〇課","","",""
"R0702050101010101","5","〇〇 五郎","〇〇会","2025-06-11","60","","","","","","","","","","","","8/31 20:12","","","","1","説明会での住民意見の反映方法と、基本構想の策定スケジュールについて再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","説明会でいただいたご意見はワークショップ形式で整理し、基本構想（案）に反映のうえ、年度末までに公表する予定です。"
"R0702050101020000","5","〇〇 五郎","〇〇会","2025-06-11","60","","","公共施設の複合化により生じる跡地の活用方針について問う","跡地活用の検討状況","民間活力の導入可能性","","","","〇〇課","〇〇課 〇〇","4","8/31 20:12","","","","","","","","",""
"R0702050102000000","5","〇〇 五郎","〇〇会","2025-06-11","60","","公共施設の長寿命化改修における財源確保について","","","","","","","","〇〇課 〇〇","5","8/31 20:12","","","","","","","","",""
"R0702050102010000","5","〇〇 五郎","〇〇会","2025-06-11","60","","","公共施設等適正管理推進事業債の活用実績と、今後の活用方針について問う","起債の活用実績","今後の活用計画","","","","〇〇課","〇〇課 〇〇","6","8/31 20:12","〇〇部〇〇課","〇〇 〇〇","当該事業債は令和7年度に3施設の改修で活用しており、今後も対象施設を計画的に選定し積極的に活用してまいります。","","","","","",""
"R0702050200000000","5","〇〇 五郎","〇〇会","2025-06-11","60","学校施設の老朽化対策及び複合化の推進について","","","","","","","","","〇〇課 〇〇","7","8/31 20:12","","","","","","","","",""
"R0702050201000000","5","〇〇 五郎","〇〇会","2025-06-11","60","","小中学校の長寿命化改修計画の進捗状況について","","","","","","","","〇〇課 〇〇","8","8/31 20:12","","","","","","","","",""
"R0702050201010000","5","〇〇 五郎","〇〇会","2025-06-11","60","","","長寿命化改修の対象校選定基準と、改修中の教育環境確保策について問う","対象校選定の基準","仮設校舎の確保","","","","〇〇課","〇〇課 〇〇","9","8/31 20:12","〇〇部〇〇課","〇〇 〇〇","築45年以上を目安に劣化度調査を実施し優先度を決定しています。改修中は特別教室の転用等により教育環境への影響を最小限に抑える工夫をしています。","","","","","",""
"R0702050201020000","5","〇〇 五郎","〇〇会","2025-06-11","60","","","空調設備の未整備校の解消時期と、体育館への設置方針について問う","未整備校の解消時期","体育館空調の整備方針","","","","〇〇課","〇〇課 〇〇","10","8/31 20:12","〇〇部〇〇課","〇〇 〇〇","普通教室への空調整備は完了しており、体育館については避難所機能も踏まえ、令和9年度までに全校整備を目指し順次進めています。","","","","","",""
